formula,description
InSe,"InSe crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of two InSe sheets oriented in the (0, 0, 1) direction. In(1) is bonded in a 3-coordinate geometry to three equivalent Se(1) atoms. All In(1)-Se(1) bond lengths are 2.67 Å. Se(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent In(1) atoms."
TaSe2,"TaSe2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one TaSe2 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded to six equivalent Se(1) atoms to form distorted edge-sharing TaSe6 pentagonal pyramids. All Ta(1)-Se(1) bond lengths are 2.61 Å. Se(1) is bonded in a distorted T-shaped geometry to three equivalent Ta(1) atoms."
ZrTe3,"ZrTe3 is I4/mcm-like structured and crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one ZrTe3 sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded in a 8-coordinate geometry to two equivalent Te(1), two equivalent Te(2), and four equivalent Te(3) atoms. Both Zr(1)-Te(1) bond lengths are 2.97 Å. Both Zr(1)-Te(2) bond lengths are 2.97 Å. There are two shorter (2.99 Å) and two longer (3.20 Å) Zr(1)-Te(3) bond lengths. There are three inequivalent Te sites. In the first Te site, Te(1) is bonded in an L-shaped geometry to two equivalent Zr(1) atoms. In the second Te site, Te(2) is bonded in an L-shaped geometry to two equivalent Zr(1) atoms. In the third Te site, Te(3) is bonded to four equivalent Zr(1) atoms to form a mixture of distorted corner and edge-sharing TeZr4 tetrahedra."
AlPS4,"AlPS4 is Silicon Disuphide-derived structured and crystallizes in the orthorhombic P222 space group. The structure is one-dimensional and consists of one AlPS4 ribbon oriented in the (0, 1, 0) direction. Al(1) is bonded in a 4-coordinate geometry to four equivalent S(1) atoms. All Al(1)-S(1) bond lengths are 2.26 Å. P(1) is bonded in a tetrahedral geometry to four equivalent S(1) atoms. All P(1)-S(1) bond lengths are 2.07 Å. S(1) is bonded in an L-shaped geometry to one Al(1) and one P(1) atom."
TiS2,"TiS2 is trigonal omega-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one TiS2 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent S(1) atoms to form edge-sharing TiS6 octahedra. All Ti(1)-S(1) bond lengths are 2.43 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Ti(1) atoms."
Sr3Fe2O5Cl2,"Sr3Fe2O5Cl2 crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one Sr3Fe2O5Cl2 sheet oriented in the (0, 0, 1) direction. There are two inequivalent Sr sites. In the first Sr site, Sr(1) is bonded in a 8-coordinate geometry to four equivalent O(1) and four equivalent Cl(1) atoms. All Sr(1)-O(1) bond lengths are 2.54 Å. All Sr(1)-Cl(1) bond lengths are 3.02 Å. In the second Sr site, Sr(2) is bonded to four equivalent O(2) and eight equivalent O(1) atoms to form SrO12 cuboctahedra that share corners with four equivalent Sr(2)O12 cuboctahedra, faces with four equivalent Sr(2)O12 cuboctahedra, and faces with eight equivalent Fe(1)ClO5 square pyramids. All Sr(2)-O(2) bond lengths are 2.75 Å. All Sr(2)-O(1) bond lengths are 2.87 Å. Fe(1) is bonded to one O(2), four equivalent O(1), and one Cl(1) atom to form FeClO5 square pyramids that share corners with five equivalent Fe(1)ClO5 square pyramids and faces with four equivalent Sr(2)O12 cuboctahedra. The Fe(1)-O(2) bond length is 1.91 Å. All Fe(1)-O(1) bond lengths are 1.95 Å. The Fe(1)-Cl(1) bond length is 3.09 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded to two equivalent Sr(1), two equivalent Sr(2), and two equivalent Fe(1) atoms to form a mixture of distorted corner, face, and edge-sharing OSr4Fe2 octahedra. The corner-sharing octahedral tilt angles range from 0-61°. In the second O site, O(2) is bonded to four equivalent Sr(2) and two equivalent Fe(1) atoms to form a mixture of distorted corner, face, and edge-sharing OSr4Fe2 octahedra. The corner-sharing octahedral tilt angles range from 0-61°. Cl(1) is bonded in a 5-coordinate geometry to four equivalent Sr(1) and one Fe(1) atom."
GaSe,"GaSe crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one GaSe sheet oriented in the (0, 0, 1) direction. Ga(1) is bonded in a 4-coordinate geometry to one Ga(1) and three equivalent Se(1) atoms. The Ga(1)-Ga(1) bond length is 2.46 Å. All Ga(1)-Se(1) bond lengths are 2.49 Å. Se(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Ga(1) atoms."
SnSe,SnSe crystallizes in the orthorhombic Pmn2_1 space group. The structure is zero-dimensional and consists of two tin selenide molecules. Sn(1) is bonded in a distorted single-bond geometry to one Se(1) atom. The Sn(1)-Se(1) bond length is 2.73 Å. Se(1) is bonded in a single-bond geometry to one Sn(1) atom.
PtSe2,"PtSe2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one PtSe2 sheet oriented in the (0, 0, 1) direction. Pt(1) is bonded to six equivalent Se(1) atoms to form edge-sharing PtSe6 octahedra. All Pt(1)-Se(1) bond lengths are 2.53 Å. Se(1) is bonded in a distorted T-shaped geometry to three equivalent Pt(1) atoms."
DyCl3,"DyCl3 crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one DyCl3 sheet oriented in the (0, 0, 1) direction. Dy(1) is bonded in a 8-coordinate geometry to two equivalent Cl(1) and six equivalent Cl(2) atoms. Both Dy(1)-Cl(1) bond lengths are 2.65 Å. There are four shorter (2.78 Å) and two longer (2.91 Å) Dy(1)-Cl(2) bond lengths. There are two inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in an L-shaped geometry to two equivalent Dy(1) atoms. In the second Cl site, Cl(2) is bonded in a trigonal non-coplanar geometry to three equivalent Dy(1) atoms."
Re3Se4Cl,"Re3Se4Cl crystallizes in the triclinic P-1 space group. The structure is two-dimensional and consists of one Re3Se4Cl sheet oriented in the (0, 0, 1) direction. There are three inequivalent Re sites. In the first Re site, Re(1) is bonded to one Se(1), one Se(2), one Se(3), one Se(4), and one Cl(1) atom to form a mixture of distorted corner and edge-sharing ReSe4Cl square pyramids. The Re(1)-Se(1) bond length is 2.54 Å. The Re(1)-Se(2) bond length is 2.57 Å. The Re(1)-Se(3) bond length is 2.57 Å. The Re(1)-Se(4) bond length is 2.54 Å. The Re(1)-Cl(1) bond length is 2.35 Å. In the second Re site, Re(2) is bonded to one Se(1), one Se(3), one Se(4), and two equivalent Se(2) atoms to form distorted ReSe5 square pyramids that share  a cornercorner with one Re(1)Se4Cl square pyramid, corners with two equivalent Re(3)Se5 square pyramids,  an edgeedge with one Re(2)Se5 square pyramid, edges with two equivalent Re(1)Se4Cl square pyramids, and edges with two equivalent Re(3)Se5 square pyramids. The Re(2)-Se(1) bond length is 2.54 Å. The Re(2)-Se(3) bond length is 2.54 Å. The Re(2)-Se(4) bond length is 2.54 Å. There is one shorter (2.66 Å) and one longer (2.68 Å) Re(2)-Se(2) bond length. In the third Re site, Re(3) is bonded to one Se(1), one Se(2), one Se(4), and two equivalent Se(3) atoms to form distorted ReSe5 square pyramids that share  a cornercorner with one Re(1)Se4Cl square pyramid, corners with two equivalent Re(2)Se5 square pyramids,  an edgeedge with one Re(3)Se5 square pyramid, edges with two equivalent Re(1)Se4Cl square pyramids, and edges with two equivalent Re(2)Se5 square pyramids. The Re(3)-Se(1) bond length is 2.55 Å. The Re(3)-Se(2) bond length is 2.55 Å. The Re(3)-Se(4) bond length is 2.55 Å. Both Re(3)-Se(3) bond lengths are 2.64 Å. There are four inequivalent Se sites. In the first Se site, Se(1) is bonded in a 3-coordinate geometry to one Re(1), one Re(2), and one Re(3) atom. In the second Se site, Se(2) is bonded in a 4-coordinate geometry to one Re(1), one Re(3), and two equivalent Re(2) atoms. In the third Se site, Se(3) is bonded in a distorted rectangular see-saw-like geometry to one Re(1), one Re(2), and two equivalent Re(3) atoms. In the fourth Se site, Se(4) is bonded in a 3-coordinate geometry to one Re(1), one Re(2), and one Re(3) atom. Cl(1) is bonded in a single-bond geometry to one Re(1) atom."
BCl3,BCl3 is Indium-like structured and crystallizes in the hexagonal P-62m space group. The structure is zero-dimensional and consists of one boron trichloride molecule. B(1) is bonded in a trigonal planar geometry to three equivalent Cl(1) atoms. All B(1)-Cl(1) bond lengths are 1.74 Å. Cl(1) is bonded in a single-bond geometry to one B(1) atom.
SiP2,"SiP2 crystallizes in the orthorhombic Pmc2_1 space group. The structure is two-dimensional and consists of one SiP2 sheet oriented in the (0, 0, 1) direction. There are two inequivalent Si sites. In the first Si site, Si(1) is bonded to one P(1), one P(4), and two equivalent P(3) atoms to form corner-sharing SiP4 tetrahedra. The Si(1)-P(1) bond length is 2.29 Å. The Si(1)-P(4) bond length is 2.28 Å. Both Si(1)-P(3) bond lengths are 2.26 Å. In the second Si site, Si(2) is bonded to one P(2), one P(3), and two equivalent P(4) atoms to form corner-sharing SiP4 tetrahedra. The Si(2)-P(2) bond length is 2.36 Å. The Si(2)-P(3) bond length is 2.29 Å. Both Si(2)-P(4) bond lengths are 2.27 Å. There are four inequivalent P sites. In the first P site, P(1) is bonded in a single-bond geometry to one Si(1) atom. In the second P site, P(2) is bonded in a single-bond geometry to one Si(2) atom. In the third P site, P(3) is bonded in a trigonal non-coplanar geometry to one Si(2) and two equivalent Si(1) atoms. In the fourth P site, P(4) is bonded in a distorted T-shaped geometry to one Si(1) and two equivalent Si(2) atoms."
CdI2,"CdI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CdI2 sheet oriented in the (0, 0, 1) direction. Cd(1) is bonded to six equivalent I(1) atoms to form edge-sharing CdI6 octahedra. All Cd(1)-I(1) bond lengths are 3.02 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Cd(1) atoms."
ZrCl,"ZrCl crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of two ZrCl sheets oriented in the (0, 0, 1) direction. Zr(1) is bonded in a 3-coordinate geometry to three equivalent Cl(1) atoms. All Zr(1)-Cl(1) bond lengths are 2.64 Å. Cl(1) is bonded in a 3-coordinate geometry to three equivalent Zr(1) atoms."
PdI2,"PdI2 crystallizes in the monoclinic P2_1/c space group. The structure is two-dimensional and consists of one PdI2 sheet oriented in the (0, 0, 1) direction. Pd(1) is bonded to two equivalent I(2) and three equivalent I(1) atoms to form a mixture of corner and edge-sharing PdI5 square pyramids. There is one shorter (2.65 Å) and one longer (2.66 Å) Pd(1)-I(2) bond length. There are two shorter (2.64 Å) and one longer (3.27 Å) Pd(1)-I(1) bond length. There are two inequivalent I sites. In the first I site, I(1) is bonded in a T-shaped geometry to three equivalent Pd(1) atoms. In the second I site, I(2) is bonded in a water-like geometry to two equivalent Pd(1) atoms."
Sr2CoO2Br2,"Sr2CoO2Br2 crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one Sr2CoO2Br2 sheet oriented in the (0, 0, 1) direction. Sr(1) is bonded in a 8-coordinate geometry to four equivalent O(1) and four equivalent Br(1) atoms. All Sr(1)-O(1) bond lengths are 2.62 Å. All Sr(1)-Br(1) bond lengths are 3.16 Å. Co(1) is bonded in a square co-planar geometry to four equivalent O(1) atoms. All Co(1)-O(1) bond lengths are 1.95 Å. O(1) is bonded to four equivalent Sr(1) and two equivalent Co(1) atoms to form a mixture of corner, face, and edge-sharing OSr4Co2 octahedra. The corner-sharing octahedra are not tilted. Br(1) is bonded in a 4-coordinate geometry to four equivalent Sr(1) atoms."
AuCN,"AuCN crystallizes in the orthorhombic Pmm2 space group. The structure is one-dimensional and consists of one AuCN ribbon oriented in the (0, 1, 0) direction. Au(1) is bonded in a distorted linear geometry to one C(1) and one N(1) atom. The Au(1)-C(1) bond length is 1.93 Å. The Au(1)-N(1) bond length is 1.99 Å. C(1) is bonded in a distorted single-bond geometry to one Au(1) and one N(1) atom. The C(1)-N(1) bond length is 1.17 Å. N(1) is bonded in a linear geometry to one Au(1) and one C(1) atom."
ZrN,"ZrN is Boron Nitride-like structured and crystallizes in the trigonal P3m1 space group. The structure is two-dimensional and consists of one ZrN sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded in a trigonal planar geometry to three equivalent N(1) atoms. All Zr(1)-N(1) bond lengths are 2.05 Å. N(1) is bonded in a trigonal planar geometry to three equivalent Zr(1) atoms."
Sc2C,"Sc2C is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Sc2C sheet oriented in the (0, 0, 1) direction. Sc(1) is bonded in a distorted T-shaped geometry to three equivalent C(1) atoms. All Sc(1)-C(1) bond lengths are 2.26 Å. C(1) is bonded to six equivalent Sc(1) atoms to form edge-sharing CSc6 octahedra."
IrBr3,"IrBr3 is Aluminum trichloride-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one IrBr3 sheet oriented in the (0, 0, 1) direction. Ir(1) is bonded to six equivalent Br(1,2) atoms to form edge-sharing IrBr6 octahedra. All Ir(1)-Br(1,2) bond lengths are 2.51 Å. Br(1,2) is bonded in an L-shaped geometry to two equivalent Ir(1) atoms."
NdBr3,"NdBr3 crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one NdBr3 sheet oriented in the (0, 0, 1) direction. Nd(1) is bonded in a 8-coordinate geometry to two equivalent Br(2) and six equivalent Br(1) atoms. Both Nd(1)-Br(2) bond lengths are 2.90 Å. There are four shorter (3.04 Å) and two longer (3.15 Å) Nd(1)-Br(1) bond lengths. There are two inequivalent Br sites. In the first Br site, Br(1) is bonded in a trigonal non-coplanar geometry to three equivalent Nd(1) atoms. In the second Br site, Br(2) is bonded in an L-shaped geometry to two equivalent Nd(1) atoms."
MnO2,"MnO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one MnO2 sheet oriented in the (0, 0, 1) direction. Mn(1) is bonded to six equivalent O(1) atoms to form edge-sharing MnO6 octahedra. All Mn(1)-O(1) bond lengths are 1.92 Å. O(1) is bonded in a distorted T-shaped geometry to three equivalent Mn(1) atoms."
YbBr3,"YbBr3 is Bismuth triodide-like structured and crystallizes in the trigonal P-3 space group. The structure is two-dimensional and consists of one YbBr3 sheet oriented in the (0, 0, 1) direction. Yb(1) is bonded to six equivalent Br(1) atoms to form edge-sharing YbBr6 octahedra. There are three shorter (2.84 Å) and three longer (2.86 Å) Yb(1)-Br(1) bond lengths. Br(1) is bonded in an L-shaped geometry to two equivalent Yb(1) atoms."
Mg5(HO3)2,"Mg5(HO3)2 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Mg5(HO3)2 sheet oriented in the (0, 0, 1) direction. There are three inequivalent Mg sites. In the first Mg site, Mg(1) is bonded to three equivalent O(1) and three equivalent O(2) atoms to form a mixture of corner and edge-sharing MgO6 octahedra. The corner-sharing octahedra are not tilted. All Mg(1)-O(1) bond lengths are 2.05 Å. All Mg(1)-O(2) bond lengths are 2.14 Å. In the second Mg site, Mg(2) is bonded to three equivalent O(2) and three equivalent O(3) atoms to form a mixture of corner and edge-sharing MgO6 octahedra. The corner-sharing octahedra are not tilted. All Mg(2)-O(2) bond lengths are 2.13 Å. All Mg(2)-O(3) bond lengths are 2.13 Å. In the third Mg site, Mg(3) is bonded to six equivalent O(3) atoms to form a mixture of corner and edge-sharing MgO6 octahedra. The corner-sharing octahedra are not tilted. All Mg(3)-O(3) bond lengths are 2.13 Å. H(1) is bonded in a single-bond geometry to one O(1) atom. The H(1)-O(1) bond length is 0.97 Å. There are three inequivalent O sites. In the first O site, O(1) is bonded in a 4-coordinate geometry to three equivalent Mg(1) and one H(1) atom. In the second O site, O(2) is bonded to three equivalent Mg(1) and three equivalent Mg(2) atoms to form a mixture of corner and edge-sharing OMg6 octahedra. The corner-sharing octahedra are not tilted. In the third O site, O(3) is bonded to three equivalent Mg(2) and three equivalent Mg(3) atoms to form a mixture of corner and edge-sharing OMg6 octahedra. The corner-sharing octahedra are not tilted."
Bi,"Bi crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Bi sheet oriented in the (0, 0, 1) direction. Bi(1) is bonded in a distorted T-shaped geometry to three equivalent Bi(1) atoms. All Bi(1)-Bi(1) bond lengths are 3.05 Å."
VS2,"VS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one VS2 sheet oriented in the (0, 0, 1) direction. V(1) is bonded to six equivalent S(1) atoms to form edge-sharing VS6 octahedra. All V(1)-S(1) bond lengths are 2.36 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent V(1) atoms."
NpOI,"NpOI is lead oxide-derived structured and crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one NpOI sheet oriented in the (0, 0, 1) direction. Np(1) is bonded in a 4-coordinate geometry to four equivalent O(1) and four equivalent I(1) atoms. All Np(1)-O(1) bond lengths are 2.32 Å. All Np(1)-I(1) bond lengths are 3.37 Å. O(1) is bonded to four equivalent Np(1) atoms to form a mixture of corner and edge-sharing ONp4 tetrahedra. I(1) is bonded in a 4-coordinate geometry to four equivalent Np(1) atoms."
BCl2,"BCl2 is Indium-like structured and crystallizes in the monoclinic P2_1/c space group. The structure is zero-dimensional and consists of four dichloroboron molecules. B(1) is bonded in a distorted bent 120 degrees geometry to one Cl(1) and one Cl(2) atom. The B(1)-Cl(1) bond length is 1.74 Å. The B(1)-Cl(2) bond length is 1.76 Å. There are two inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in a single-bond geometry to one B(1) atom. In the second Cl site, Cl(2) is bonded in a single-bond geometry to one B(1) atom."
SrIF,"SrIF is lead oxide-derived structured and crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one SrIF sheet oriented in the (0, 0, 1) direction. Sr(1) is bonded in a 4-coordinate geometry to four equivalent I(1) and four equivalent F(1) atoms. All Sr(1)-I(1) bond lengths are 3.41 Å. All Sr(1)-F(1) bond lengths are 2.51 Å. I(1) is bonded in a 4-coordinate geometry to four equivalent Sr(1) atoms. F(1) is bonded to four equivalent Sr(1) atoms to form a mixture of corner and edge-sharing FSr4 tetrahedra."
TlSbO3,"TlSbO3 crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one TlSbO3 sheet oriented in the (0, 0, 1) direction. Tl(1) is bonded in a distorted T-shaped geometry to three equivalent O(1) atoms. All Tl(1)-O(1) bond lengths are 2.56 Å. Sb(1) is bonded to six equivalent O(1) atoms to form edge-sharing SbO6 octahedra. All Sb(1)-O(1) bond lengths are 2.02 Å. O(1) is bonded in a distorted trigonal planar geometry to one Tl(1) and two equivalent Sb(1) atoms."
Lu2CCl2,"Lu2CCl2 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Lu2CCl2 sheet oriented in the (0, 0, 1) direction. Lu(1) is bonded to three equivalent C(1) and three equivalent Cl(1) atoms to form a mixture of corner and edge-sharing LuC3Cl3 octahedra. The corner-sharing octahedra are not tilted. All Lu(1)-C(1) bond lengths are 2.44 Å. All Lu(1)-Cl(1) bond lengths are 2.70 Å. C(1) is bonded to six equivalent Lu(1) atoms to form edge-sharing CLu6 octahedra. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Lu(1) atoms."
ThI2,"ThI2 is Molybdenite-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one ThI2 sheet oriented in the (0, 0, 1) direction. Th(1) is bonded in a 6-coordinate geometry to six equivalent I(1) atoms. All Th(1)-I(1) bond lengths are 3.23 Å. I(1) is bonded in a 3-coordinate geometry to three equivalent Th(1) atoms."
NiS2,"NiS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one NiS2 sheet oriented in the (0, 0, 1) direction. Ni(1) is bonded to six equivalent S(1) atoms to form edge-sharing NiS6 octahedra. All Ni(1)-S(1) bond lengths are 2.26 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Ni(1) atoms."
GaSe,"GaSe crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one GaSe sheet oriented in the (0, 0, 1) direction. Ga(1) is bonded in a 4-coordinate geometry to one Ga(1) and three equivalent Se(1) atoms. The Ga(1)-Ga(1) bond length is 2.45 Å. All Ga(1)-Se(1) bond lengths are 2.49 Å. Se(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Ga(1) atoms."
LiBiO2,"LiBiO2 crystallizes in the orthorhombic Pbcm space group. The structure is two-dimensional and consists of one LiBiO2 sheet oriented in the (0, 0, 1) direction. Li(1) is bonded to four equivalent O(2) atoms to form a mixture of distorted corner and edge-sharing LiO4 tetrahedra. There are two shorter (1.96 Å) and two longer (1.98 Å) Li(1)-O(2) bond lengths. Bi(1) is bonded in a single-bond geometry to one O(2) and three equivalent O(1) atoms. The Bi(1)-O(2) bond length is 2.07 Å. There is one shorter (2.16 Å) and two longer (2.40 Å) Bi(1)-O(1) bond lengths. There are two inequivalent O sites. In the first O site, O(1) is bonded in a T-shaped geometry to three equivalent Bi(1) atoms. In the second O site, O(2) is bonded in a 5-coordinate geometry to four equivalent Li(1) and one Bi(1) atom."
GaTe,"GaTe crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one GaTe sheet oriented in the (0, 0, 1) direction. Ga(1) is bonded to one Ga(1) and three equivalent Te(1) atoms to form distorted corner-sharing GaGaTe3 tetrahedra. The Ga(1)-Ga(1) bond length is 2.45 Å. All Ga(1)-Te(1) bond lengths are 2.70 Å. Te(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Ga(1) atoms."
PuOBr,"PuOBr crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one PuOBr sheet oriented in the (0, 0, 1) direction. Pu(1) is bonded in a 4-coordinate geometry to four equivalent O(1) and four equivalent Br(1) atoms. All Pu(1)-O(1) bond lengths are 2.30 Å. All Pu(1)-Br(1) bond lengths are 3.20 Å. O(1) is bonded to four equivalent Pu(1) atoms to form a mixture of corner and edge-sharing OPu4 tetrahedra. Br(1) is bonded in a 4-coordinate geometry to four equivalent Pu(1) atoms."
BiOBr,"BiOBr crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one BiOBr sheet oriented in the (0, 0, 1) direction. Bi(1) is bonded in a 4-coordinate geometry to four equivalent O(1) and four equivalent Br(1) atoms. All Bi(1)-O(1) bond lengths are 2.34 Å. All Bi(1)-Br(1) bond lengths are 3.21 Å. O(1) is bonded to four equivalent Bi(1) atoms to form a mixture of corner and edge-sharing OBi4 tetrahedra. Br(1) is bonded in a 4-coordinate geometry to four equivalent Bi(1) atoms."
Bi2Pt,"Bi2Pt is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Bi2Pt sheet oriented in the (0, 0, 1) direction. Pt(1) is bonded to six equivalent Bi(1) atoms to form edge-sharing PtBi6 octahedra. All Pt(1)-Bi(1) bond lengths are 2.79 Å. Bi(1) is bonded in a 3-coordinate geometry to three equivalent Pt(1) atoms."
ThI4,"ThI4 crystallizes in the monoclinic P2_1/c space group. The structure is two-dimensional and consists of one ThI4 sheet oriented in the (0, 0, 1) direction. Th(1) is bonded in a 8-coordinate geometry to two equivalent I(1), two equivalent I(2), two equivalent I(3), and two equivalent I(4) atoms. There is one shorter (3.15 Å) and one longer (3.33 Å) Th(1)-I(1) bond length. There is one shorter (3.20 Å) and one longer (3.30 Å) Th(1)-I(2) bond length. There is one shorter (3.18 Å) and one longer (3.24 Å) Th(1)-I(3) bond length. There is one shorter (3.15 Å) and one longer (3.26 Å) Th(1)-I(4) bond length. There are four inequivalent I sites. In the first I site, I(1) is bonded in an L-shaped geometry to two equivalent Th(1) atoms. In the second I site, I(2) is bonded in a water-like geometry to two equivalent Th(1) atoms. In the third I site, I(3) is bonded in an L-shaped geometry to two equivalent Th(1) atoms. In the fourth I site, I(4) is bonded in an L-shaped geometry to two equivalent Th(1) atoms."
KMnP,"KMnP crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one KMnP sheet oriented in the (0, 0, 1) direction. K(1) is bonded in a 4-coordinate geometry to four equivalent P(1) atoms. All K(1)-P(1) bond lengths are 3.21 Å. Mn(1) is bonded to four equivalent P(1) atoms to form a mixture of corner and edge-sharing MnP4 tetrahedra. All Mn(1)-P(1) bond lengths are 2.29 Å. P(1) is bonded in a 8-coordinate geometry to four equivalent K(1) and four equivalent Mn(1) atoms."
FeI2,"FeI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one FeI2 sheet oriented in the (0, 0, 1) direction. Fe(1) is bonded to six equivalent I(1) atoms to form edge-sharing FeI6 octahedra. All Fe(1)-I(1) bond lengths are 2.82 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Fe(1) atoms."
Nb3Cl8,"Nb3Cl8 crystallizes in the trigonal P3m1 space group. The structure is two-dimensional and consists of one Nb3Cl8 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded to one Cl(2), one Cl(4), two equivalent Cl(1), and two equivalent Cl(3) atoms to form distorted edge-sharing NbCl6 octahedra. The Nb(1)-Cl(2) bond length is 2.66 Å. The Nb(1)-Cl(4) bond length is 2.48 Å. Both Nb(1)-Cl(1) bond lengths are 2.46 Å. Both Nb(1)-Cl(3) bond lengths are 2.54 Å. There are four inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. In the second Cl site, Cl(2) is bonded in a distorted T-shaped geometry to three equivalent Nb(1) atoms. In the third Cl site, Cl(3) is bonded in a water-like geometry to two equivalent Nb(1) atoms. In the fourth Cl site, Cl(4) is bonded in a 3-coordinate geometry to three equivalent Nb(1) atoms."
SiAs3,"SiAs3 crystallizes in the hexagonal P6/mmm space group. The structure is two-dimensional and consists of one SiAs3 sheet oriented in the (0, 0, 1) direction. Si(1) is bonded in a hexagonal planar geometry to six equivalent As(1) atoms. All Si(1)-As(1) bond lengths are 2.74 Å. As(1) is bonded in a hexagonal planar geometry to two equivalent Si(1) and four equivalent As(1) atoms. All As(1)-As(1) bond lengths are 2.74 Å."
CrBr3,"CrBr3 is Chromium trichloride-like structured and crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one CrBr3 sheet oriented in the (0, 0, 1) direction. Cr(1) is bonded to six equivalent Br(1) atoms to form edge-sharing CrBr6 octahedra. All Cr(1)-Br(1) bond lengths are 2.51 Å. Br(1) is bonded in an L-shaped geometry to two equivalent Cr(1) atoms."
PbI2,"PbI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one PbI2 sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded to six equivalent I(1) atoms to form edge-sharing PbI6 octahedra. All Pb(1)-I(1) bond lengths are 3.25 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Pb(1) atoms."
MoTe2,"MoTe2 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one MoTe2 sheet oriented in the (0, 0, 1) direction. Mo(1) is bonded in a 8-coordinate geometry to two equivalent Mo(1), three equivalent Te(1), and three equivalent Te(2) atoms. Both Mo(1)-Mo(1) bond lengths are 2.89 Å. There are two shorter (2.71 Å) and one longer (2.73 Å) Mo(1)-Te(1) bond length. There are two shorter (2.84 Å) and one longer (2.85 Å) Mo(1)-Te(2) bond length. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a 3-coordinate geometry to three equivalent Mo(1) atoms. In the second Te site, Te(2) is bonded in a 3-coordinate geometry to three equivalent Mo(1) atoms."
